['Stukely', -72.23476250666667, 45.36379470833333, '2022-09-03', '02-04-33', '06_04_49', 'Stukely_Day14_2022-09-03_02-04-33_picNo_45_M45.36379470833333_N-72.23476250666667_T06_04_49.200000.png', []],
['Stukely', -72.23476250666667, 45.36379470833333, '2022-09-03', '02-04-33', '06_04_49', 'Stukely_Day14_2022-09-03_02-04-33_picNo_46_M45.36379470833333_N-72.23476250666667_T06_04_49.200000.png', []],
['Stukely', -72.23476281, 45.36379511333333, '2022-09-03', '02-04-33', '06_04_50', 'Stukely_Day14_2022-09-03_02-04-33_picNo_48_M45.36379511333333_N-72.23476281_T06_04_50.200000.png', []],
['Stukely', -72.23476281, 45.36379511333333, '2022-09-03', '02-04-33', '06_04_50', 'Stukely_Day14_2022-09-03_02-04-33_picNo_49_M45.36379511333333_N-72.23476281_T06_04_50.200000.png', []],
['Stukely', -72.23476312833333, 45.363795493333335, '2022-09-03', '02-04-33', '06_04_51', 'Stukely_Day14_2022-09-03_02-04-33_picNo_51_M45.363795493333335_N-72.23476312833333_T06_04_51.200000.png', []],
['Stukely', -72.23476312833333, 45.363795493333335, '2022-09-03', '02-04-33', '06_04_51', 'Stukely_Day14_2022-09-03_02-04-33_picNo_52_M45.363795493333335_N-72.23476312833333_T06_04_51.200000.png', []],
['Stukely', -72.23476349666667, 45.363795896666666, '2022-09-03', '02-04-33', '06_04_52', 'Stukely_Day14_2022-09-03_02-04-33_picNo_54_M45.363795896666666_N-72.23476349666667_T06_04_52.200000.png', []],
['Stukely', -72.23476349666667, 45.363795896666666, '2022-09-03', '02-04-33', '06_04_52', 'Stukely_Day14_2022-09-03_02-04-33_picNo_55_M45.363795896666666_N-72.23476349666667_T06_04_52.200000.png', []],
['Stukely', -72.23476380833333, 45.36379632333333, '2022-09-03', '02-04-33', '06_04_53', 'Stukely_Day14_2022-09-03_02-04-33_picNo_57_M45.36379632333333_N-72.23476380833333_T06_04_53.200000.png', []],
['Stukely', -72.23476380833333, 45.36379632333333, '2022-09-03', '02-04-33', '06_04_53', 'Stukely_Day14_2022-09-03_02-04-33_picNo_58_M45.36379632333333_N-72.23476380833333_T06_04_53.200000.png', []],
['Stukely', -72.23476414166667, 45.363796711666666, '2022-09-03', '02-04-33', '06_04_54', 'Stukely_Day14_2022-09-03_02-04-33_picNo_60_M45.363796711666666_N-72.23476414166667_T06_04_54.200000.png', []],
['Stukely', -72.23476414166667, 45.363796711666666, '2022-09-03', '02-04-33', '06_04_54', 'Stukely_Day14_2022-09-03_02-04-33_picNo_61_M45.363796711666666_N-72.23476414166667_T06_04_54.200000.png', []],
['Stukely', -72.23476445, 45.363797076666664, '2022-09-03', '02-04-33', '06_04_55', 'Stukely_Day14_2022-09-03_02-04-33_picNo_63_M45.363797076666664_N-72.23476445_T06_04_55.200000.png', []],
